title,vote_average,vote_count,genres,Stars
City Lights,8.4,1640,"Comedy, Drama, Romance","Charlie Chaplin, Virginia Cherrill"
It Happened One Night,7.9,921,"Comedy, Romance","Clark Gable, Claudette Colbert"
All Quiet on the Western Front,7.8,535,"Drama, War","Louis Wolheim, Lew Ayres"
Freaks,7.8,894,"Drama, Horror","Harry Earles, Olga Baclanova"
I Am a Fugitive from a Chain Gang,7.8,142,"Crime, Drama","Paul Muni, Glenda Farrell"
Busy Bodies,7.7,63,Comedy,"NA"
King Kong,7.6,1108,"Adventure, Fantasy, Horror","Robert Armstrong, Fay Wray"
The Music Box,7.6,159,Comedy,"NA"
The Thin Man,7.6,330,"Comedy, Crime, Mystery","William Powell, Myrna Loy"
Frankenstein,7.5,1152,"Drama, Horror, Science Fiction","Colin Clive, Mae Clarke"
Scarface,7.5,438,"Action, Crime, Drama, Thriller","Paul Muni, Ann Dvorak"
The Invisible Man,7.5,579,"Horror, Science Fiction","Claude Rains, Gloria Stuart"
Trouble in Paradise,7.5,196,"Comedy, Crime, Romance","Miriam Hopkins, Kay Francis"
